product_id,product_name,category,unit_price
2001,Portable Solar Charger,Electronics,49.9
2002,Insulated Water Bottle,Home,24.5
2003,Trail Backpack 35L,Outdoor,89.0
2004,Noise Cancelling Earbuds,Electronics,129.0
2005,Bamboo Desk Organizer,Office,34.0
2006,Organic Coffee Beans 1kg,Grocery,18.75
2007,Standing Desk Mat,Office,52.0
2008,Smart Garden Sensor,Outdoor,59.9
2009,Wireless Charging Pad,Electronics,39.0
2010,Merino Wool Socks,Outdoor,22.0
2011,Ceramic Pour-Over Set,Home,44.0
2012,Ergonomic Mouse Pad,Office,29.0
2013,Cold Brew Coffee Kit,Grocery,32.5
2014,4K Webcam,Electronics,98.0
2015,Trekking Poles,Outdoor,65.0
2016,Linen Throw Blanket,Home,58.0
2017,Mechanical Keyboard,Electronics,145.0
2018,Herbal Tea Sampler,Grocery,14.5
2019,Monitor Arm,Office,79.0
2020,Beeswax Food Wraps,Home,19.0
